what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1420736954079
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1420736954081
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1420736954084
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1420736954086
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1420736954087
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1420736954087
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1420736954088
os,sysinfo,,,"win32",1420736954093
arch,sysinfo,,,"x86",1420736954093
ws,sysinfo,,,"win32",1420736954093
locale,sysinfo,,,"en_US",1420736954093
processors,sysinfo,,,"8",1420736954093
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1420736954093
java.runtime.version,sysinfo,,,"1.8.0_25-b18",1420736954093
java.specification.name,sysinfo,,,"Java Platform API Specification",1420736954093
java.specification.vendor,sysinfo,,,"Oracle Corporation",1420736954093
java.specification.version,sysinfo,,,"1.8",1420736954093
java.vendor,sysinfo,,,"Oracle Corporation",1420736954093
java.version,sysinfo,,,"1.8.0_25",1420736954093
java.vm.info,sysinfo,,,"mixed mode",1420736954093
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1420736954093
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1420736954093
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1420736954093
java.vm.specification.version,sysinfo,,,"1.8",1420736954093
java.vm.vendor,sysinfo,,,"Oracle Corporation",1420736954093
java.vm.version,sysinfo,,,"25.25-b02",1420736954093
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1420736954114
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1420736954144
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1420736959204
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1420736959221
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1420736959261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420736974109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737053324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737057805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737064172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737065751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737134234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737213759
